hospital,solicitacoes,aprovacoes,uti,enfermaria,tempo_medio,mediana,pct_atendidas
Unidade Mista De Saude Municipal Fernando Antonio De Morais,45,43,0,43,118 d,72 d,96
Femina Hospital Infantil E Maternidade,42,11,4,7,25 d,8 d,26
Hospital E Maternidade Dois Pinheiros,33,20,0,20,6 d,6 d,61
Cardiocine,33,21,5,16,23 d,12 d,64
Hospital Municipal Cristo Rei,28,22,0,22,3 d,2 d,79
Hospital Sant Ana,27,21,0,21,13 d,8 d,78
Fundacao Hospitalar De Saude Municipal De Itauba,26,11,0,11,2 d,1 d,42
Hospital E Maternidade Jacarandas,24,24,0,24,8 d,6 d,100
Hospital Geral De Pocone,18,9,0,9,4 d,4 d,50
Medicina Nuclear,17,10,2,8,25 d,6 d,59
Hospital E Maternidade Das Nacoes,17,7,1,6,14 d,2 d,41
Projeto Catarata,15,6,0,6,13 d,1 d,40
Hospital E Maternidade Laura Vicuna,14,11,0,11,11 d,15 d,79
Unidade De Pronto Atendimento Municipal Ari Torres,13,7,2,5,< 1 d,< 1 d,54
Hospital Municipal De Querencia,12,5,0,5,3 d,2 d,42
Hospital Municipal Santo Antonio Aripuana,11,7,0,7,11 d,8 d,64
Grupo Olhares Saude E Bem Estar,11,6,5,1,7 d,6 d,55
Hospital Municipal Lorena Parode,9,6,0,6,2 d,2 d,67
C A M,9,4,2,2,10 d,2 d,44
Hospital E Maternidade Cristo Redentor,9,7,0,7,3 d,1 d,78
Hospital De Olhos De Rondonopolis,7,5,1,4,< 1 d,1 d,71
Hospital E Maternidade Sao Lucas Sociedade Medica Sao Lucas,6,3,0,3,15 d,19 d,50
Inematt Instituto Nefrologico Ltda,6,2,0,2,1 d,1 d,33
Gasperi Servicos Medicos,6,1,0,1,- d,- d,17
Policlinica Integrada,5,5,0,5,1 d,1 d,100
Hospital Municipal De Gaucha Do Norte,5,2,0,2,1 d,1 d,40
Pa Pronto Atendimento De Nova Canaa Do Norte,5,3,0,3,28 d,28 d,60
Hospital Municipal Cristyan Mary Da Silveira E Lima,4,3,0,3,2 d,2 d,75
Upa 24Hs Dr Thiago Fernando Sandri Dos Santos,4,2,0,2,26 d,26 d,50
Hospital Municipal Sebastiao Antonio Da Costa,4,4,0,4,1 d,1 d,100
Hospital O Bom Samaritano,4,0,0,4,- d,- d,0
Hbento,4,1,0,1,18 d,18 d,25
Pronto Atendimento Municipal De Arenapolis,3,1,0,1,- d,- d,33
Hospital Municipal De Apiacas,2,2,0,2,33 d,33 d,100
Hospital Municipal De Sao Jose Do Rio Claro,2,0,0,2,- d,- d,0
Associacao Santa Madre Paulina,1,1,0,1,< 1 d,< 1 d,100
Hospital Santa Ines,1,1,0,1,5 d,5 d,100
